municipio_code,lat,lon,kind
13077,38.6419862,-3.4666934,centroide_nominatim_historico
13078,39.2834014,-2.7904645,centroide_nominatim_historico
13079,38.941937,-3.236528,centroide_nominatim_historico
13080,38.4661568,-4.0745968,centroide_nominatim_historico
13081,38.6096902,-2.8416293,centroide_nominatim_historico
13082,39.1585549,-3.0214851,centroide_nominatim_historico
13083,39.0170808,-3.7502053,centroide_nominatim_historico
13084,38.5845739,-3.0609335,centroide_nominatim_historico
13085,38.6397821,-3.3648129,centroide_nominatim_historico
13086,38.9384034,-4.8290585,centroide_nominatim_historico
13087,38.7594573,-3.3847392,centroide_nominatim_historico
13088,38.8528367,-3.7723018,centroide_nominatim_historico
13089,38.7505908,-2.8718753,centroide_nominatim_historico
13090,38.5457838,-2.9979338,centroide_nominatim_historico
13091,38.7877317,-4.1386794,centroide_nominatim_historico
13092,38.6926503,-2.693727,centroide_nominatim_historico
13093,38.7339635,-3.0135587,centroide_nominatim_historico
13094,38.6219731,-3.909334,centroide_nominatim_historico
13095,38.8503411,-3.9635321,centroide_nominatim_historico
13096,39.2181465,-3.6070212,centroide_nominatim_historico
13097,39.2383954,-3.4235166,centroide_nominatim_historico
13098,38.5217338,-3.5627159,centroide_nominatim_historico
13901,39.2176173,-4.2811191,centroide_nominatim_historico
13902,38.9773853,-2.8837081,centroide_nominatim_historico
13903,39.308449,-3.0250984,centroide_nominatim_historico
13904,39.117787,-3.351901,centroide_nominatim_historico
14001,38.0269999,-4.5245275,centroide_nominatim_historico
14002,37.5146967,-4.6567166,centroide_nominatim_historico
14003,38.3893241,-4.9673657,centroide_nominatim_historico
14004,37.4405255,-4.0961434,centroide_nominatim_historico
14005,37.8112483,-5.0194742,centroide_nominatim_historico
14006,38.4123556,-4.8976316,centroide_nominatim_historico
14007,37.6173035,-4.324371,centroide_nominatim_historico
14008,38.575186,-5.1669539,centroide_nominatim_historico
14009,38.272413,-5.2078919,centroide_nominatim_historico
14010,37.2671843,-4.540364,centroide_nominatim_historico
14011,38.4073597,-5.4401208,centroide_nominatim_historico
14012,37.8950265,-4.3810054,centroide_nominatim_historico
14013,37.4718153,-4.4335616,centroide_nominatim_historico
14014,37.8666708,-4.3184903,centroide_nominatim_historico
14015,37.4438237,-4.2740867,centroide_nominatim_historico
14016,38.2703085,-4.3227324,centroide_nominatim_historico
14017,37.6746159,-4.9325335,centroide_nominatim_historico
14018,37.9415445,-4.4940255,centroide_nominatim_historico
14019,37.6911602,-4.4826954,centroide_nominatim_historico
14020,38.4080934,-4.5006552,centroide_nominatim_historico
14021,37.8845813,-4.7760138,centroide_nominatim_historico
14022,37.5545719,-4.3573672,centroide_nominatim_historico
14023,38.4442332,-4.8956511,centroide_nominatim_historico
14024,37.2745773,-4.4887626,centroide_nominatim_historico
14025,37.678932,-4.5537827,centroide_nominatim_historico
14026,38.1885533,-5.0189717,centroide_nominatim_historico
14027,37.669931,-4.7253088,centroide_nominatim_historico
14028,38.4224339,-5.0482099,centroide_nominatim_historico
14029,38.2667683,-5.4197812,centroide_nominatim_historico
14030,37.7049553,-5.099948,centroide_nominatim_historico
14031,37.5107434,-4.145896,centroide_nominatim_historico
14032,38.3706149,-5.3516486,centroide_nominatim_historico
14033,37.7578517,-4.9441631,centroide_nominatim_historico
14034,38.495977,-4.7831015,centroide_nominatim_historico
14035,38.5004402,-5.1479244,centroide_nominatim_historico
14036,37.8341341,-5.2490384,centroide_nominatim_historico
14037,37.2572511,-4.3077099,centroide_nominatim_historico
14038,37.4091334,-4.4860128,centroide_nominatim_historico
14039,37.5586671,-4.2786296,centroide_nominatim_historico
14040,37.5814618,-4.7496714,centroide_nominatim_historico
14041,37.6484171,-4.6983093,centroide_nominatim_historico
14042,37.5811178,-4.6414726,centroide_nominatim_historico
14043,38.0215633,-4.3827296,centroide_nominatim_historico
14044,37.473299,-4.5814876,centroide_nominatim_historico
14045,37.4353584,-4.6095901,centroide_nominatim_historico
14046,37.5859799,-4.4677573,centroide_nominatim_historico
14047,38.1325555,-4.8000174,centroide_nominatim_historico
14048,37.2486227,-4.5825794,centroide_nominatim_historico
14049,37.6949622,-5.2804262,centroide_nominatim_historico
14050,37.9662785,-4.45529,centroide_nominatim_historico
14051,38.4275719,-4.7629857,centroide_nominatim_historico
14052,38.3026178,-5.2714828,centroide_nominatim_historico
14053,37.8017289,-5.107031,centroide_nominatim_historico
14054,38.3780204,-4.848573,centroide_nominatim_historico
14055,37.4384292,-4.1980422,centroide_nominatim_historico
14056,37.387395,-4.7716241,centroide_nominatim_historico
14057,37.6076108,-4.7398584,centroide_nominatim_historico
14058,37.3253037,-4.3699771,centroide_nominatim_historico
14059,37.6535266,-4.8240997,centroide_nominatim_historico
14060,37.561297,-4.8425505,centroide_nominatim_historico
14061,38.5966427,-4.9041947,centroide_nominatim_historico
14062,38.4744653,-4.6773881,centroide_nominatim_historico
14063,37.7751808,-4.220174,centroide_nominatim_historico
14064,38.4049294,-5.3517078,centroide_nominatim_historico
14065,37.6813142,-4.8531883,centroide_nominatim_historico
14066,37.980817,-4.2916403,centroide_nominatim_historico
14067,37.9623001,-4.5459147,centroide_nominatim_historico
14068,38.1400552,-4.9037865,centroide_nominatim_historico
14069,38.3230235,-4.6279655,centroide_nominatim_historico
14070,38.3932039,-4.9995818,centroide_nominatim_historico
14071,38.1982093,-5.1526791,centroide_nominatim_historico
14072,38.4549605,-4.9845849,centroide_nominatim_historico
14073,38.0756277,-5.0146332,centroide_nominatim_historico
14074,38.4832661,-4.9554413,centroide_nominatim_historico
14075,37.543409,-4.314876,centroide_nominatim_historico
15001,43.2273169,-8.2887175,centroide_nominatim_historico
15002,42.8907625,-8.6722375,centroide_nominatim_historico
15003,43.2230734,-8.0124434,centroide_nominatim_historico
15004,43.4263299,-8.2440387,centroide_nominatim_historico
15005,43.3045943,-8.508275,centroide_nominatim_historico
15006,42.9279921,-8.1605667,centroide_nominatim_historico
15007,42.96155,-8.7534844,centroide_nominatim_historico
15008,43.312425,-8.2470197,centroide_nominatim_historico
15009,43.279239,-8.2105792,centroide_nominatim_historico
15010,43.012561,-8.1387648,centroide_nominatim_historico
15011,42.6462941,-8.8858718,centroide_nominatim_historico
15012,42.8329263,-8.4432792,centroide_nominatim_historico
15013,42.8548393,-8.7444082,centroide_nominatim_historico
15014,43.1898484,-8.9142226,centroide_nominatim_historico
15015,43.4186891,-8.1609242,centroide_nominatim_historico
15016,43.1310578,-9.1825585,centroide_nominatim_historico
15017,43.2923291,-8.3444415,centroide_nominatim_historico
15018,43.4420677,-8.0434005,centroide_nominatim_historico
15019,43.2134123,-8.6891286,centroide_nominatim_historico
15020,42.821959,-9.0878032,centroide_nominatim_historico
15021,43.2297016,-8.3558882,centroide_nominatim_historico
15022,43.6602391,-8.0546995,centroide_nominatim_historico
15023,42.9575581,-9.1917202,centroide_nominatim_historico
15024,43.1626367,-8.5034757,centroide_nominatim_historico
15025,43.6042952,-7.9654062,centroide_nominatim_historico
15027,43.2461745,-8.1471228,centroide_nominatim_historico
15028,42.9444958,-9.1942141,centroide_nominatim_historico
15029,43.163483,-8.7581487,centroide_nominatim_historico
15030,42.8814573,-8.5459201,centroide_nominatim_historico
15031,43.2884816,-8.3894589,centroide_nominatim_historico
15032,43.1269872,-8.1432398,centroide_nominatim_historico
15033,42.7213024,-8.7203857,centroide_nominatim_historico
15034,43.0104042,-9.1179528,centroide_nominatim_historico
15035,43.473674,-8.1625614,centroide_nominatim_historico
15036,43.4845713,-8.2329968,centroide_nominatim_historico
15037,42.9064771,-9.263789,centroide_nominatim_historico
15038,43.0494377,-8.2837139,centroide_nominatim_historico
15039,43.2877953,-8.0491191,centroide_nominatim_historico
15040,43.2219125,-9.0059393,centroide_nominatim_historico
