geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
2509954,Valencia,Valencia,"Balenzia,Pa-lun-si-a,Pâ-lùn-sî-â,VLC,Valantsa,Valence,Valencia,Valencia - Valencia,Valencie,Valencija,Valencio,Valenseje,Valensi,Valensia,Valensii,Valensij,Valensija,Valensiya,Valensyaa,Valensėjė,Valenthia,Valentia,Valentzia,Valenza,València,Valéncia,Valência,Vałénsia,Walencja,Walensiye,Walénsiye,ba len seiy,ba lun xi ya,ballensia,barenshia,blnsyt,hua lun xi ya,valainsi'a,valenciya,valensia,valensiya,valynsya,wa lun xi ya,walnsya,wlnsyh,wylnsya,Βαλένθια,Валенси,Валенсиа,Валенсий,Валенсия,Валенсија,Валенсія,Վալենսիա,וואלענציע,ולנסיה,بلنسية,والنسیا,ویلنسیا,ویلنسیہ,ڤالينسيا,ڤالێنسیا,वालेन्सिया,ਵਾਲੈਂਸੀਆ,வாலேன்சியா,บาเลนเซีย,ვალენსია,バレンシア,巴倫西亞,瓦伦西亚,瓦倫西亞,華倫西亞,발렌시아",39.47391,-0.37966,P,PPLA,60,V,46250,,46,824340
2509961,Valdeverdeja,Valdeverdeja,"Valdeverdeja,Valdeverja,Valle la Verja,Valverdeja",39.79635,-5.24544,P,PPLA3,54,TO,45179,,45,721
2509964,Valdetorres,Valdetorres,Valdetorres,38.91542,-6.06765,P,PPLA3,57,BA,06138,,06,1301
2509975,Valderrubio,Valderrubio,Valderrubio,37.23378,-3.82005,P,PPLA3,51,GR,18158,,18,0
2509980,Valdepeñas de Jaén,Valdepenas de Jaen,"Valdepenas,Valdepenas de Jaen,Valdepeñas,Valdepeñas de Jaén",37.58903,-3.8145,P,PPLA3,51,J,23093,,23,4331
2509982,Valdepeñas,Valdepenas,"Val'depen'jase,Valdepenas,Valdepeñas,Yaldepenas,Вальдепеньясе",38.76211,-3.38483,P,PPLA3,54,CR,13087,,13,31147
2509986,Valdemorales,Valdemorales,Valdemorales,39.20588,-6.06622,P,PPLA3,57,CC,10201,,10,239
2509991,Valdemanco del Esteras,Valdemanco del Esteras,Valdemanco del Esteras,38.93858,-4.8292,P,PPLA3,54,CR,13086,,13,0
2510000,Valdelarco,Valdelarco,Valdelarco,37.94877,-6.68202,P,PPLA3,51,H,21071,,21,0
2510007,Valdelacasa de Tajo,Valdelacasa de Tajo,Valdelacasa de Tajo,39.72588,-5.28296,P,PPLA3,57,CC,10200,,10,500
2510015,Valdehúncar,Valdehuncar,"Valdehuncar,Valdehúncar",39.83659,-5.52307,P,PPLA3,57,CC,10199,,10,207
2510028,Valdeganga,Valdeganga,Valdeganga,39.13514,-1.67703,P,PPLA3,54,AB,02075,,02,1871
2510031,Valdefuentes,Valdefuentes,Valdefuentes,39.27433,-6.12183,P,PPLA3,57,CC,10198,,10,1572
2510038,Valdecañas de Tajo,Valdecanas de Tajo,"Valdecanas de Tajo,Valdecañas de Tajo",39.75919,-5.61951,P,PPLA3,57,CC,10197,,10,205
2510045,Valdecaballeros,Valdecaballeros,"Valdecaballero,Valdecaballeros",39.24289,-5.19,P,PPLA3,57,BA,06137,,06,1251
2510073,Utrera,Utrera,"Utrera,Утрера",37.18516,-5.78093,P,PPLA3,51,SE,41095,,41,52617
2510075,Utiel,Utiel,"Ut'el',Utiel,wu tie er,Утьель,Утьєль,乌铁尔",39.56667,-1.2,P,PPLA3,60,V,46249,,46,12420
