geonameid,name,asciiname,alternatenames,lat,lon,feature_class,feature_code,admin1,admin2,admin3,admin4,provincia_ine,population
3119350,Landeral,Landeral,Landeral,43.33584,-3.33212,P,PPL,39,S,39030,,39,0
3119351,Landeira,Landeira,,42.94624,-8.82007,P,PPL,58,C,15056,,15,0
3119353,Landarbaso,Landarbaso,"Landarbaso,Landerbaso",43.25817,-1.90672,P,PPLX,59,SS,20069,,20,0
3119354,Landa,Landa,Landa,42.93257,-2.59542,P,PPL,59,VI,01008,,01,0
3119355,Lantziego / Lanciego,Lanciego,"Lanciego,Lantziego",42.56248,-2.51343,P,PPL,59,VI,01032,,01,640
3119358,Lanchares,Lanchares,Lanchares,43.04059,-3.97224,P,PPL,39,S,39017,,39,0
3119359,Lancharejo,Lancharejo,"Barrio Lancharejo,Lancharejo",40.34848,-5.56412,P,PPL,55,AV,05051,,05,0
3119360,Láncara de Luna,Lancara de Luna,"Lancara,Lancara de Luna,Láncara,Láncara de Luna",42.91667,-5.91667,P,PPL,55,LE,24164,,24,0
3119361,Láncara,Lancara,,42.86425,-7.33667,P,PPLA3,58,LU,27026,,27,3121
3119362,La Nave,La Nave,"La Nave,Nave de Albura",42.6936,-2.97307,P,PPL,55,BU,09219,,09,0
3119363,Lanave,Lanave,,42.41807,-0.39439,P,PPL,52,HU,22199,,22,0
3119364,La Nava de Jadraque,La Nava de Jadraque,La Nava de Jadraque,41.08687,-3.13729,P,PPL,54,GU,19203,,19,0
3119366,La Nava,La Nava,,43.32733,-5.66752,P,PPL,34,O,33031,,33,0
3119367,La Nava,La Nava,"La Nava,Nava",41.25996,-3.74893,P,PPL,55,SG,40060,,40,0
3119369,Lañas,Lanas,"Lanas,Lañas,Santa Marina",43.3,-8.51667,P,PPL,58,C,15041,,15,0
3119370,Lañas,Lanas,,42.95336,-8.70795,P,PPL,58,C,15007,,15,0
3119374,Lanaja,Lanaja,Lanaja,41.77063,-0.33095,P,PPLA3,52,HU,22137,,22,1465
3119375,Lañada,Lanada,"Lanada,Lañada",43.53333,-6.6,P,PPL,34,O,33034,,33,0
3119376,La Muria,La Muria,La Muria,42.45707,0.53282,P,PPL,52,HU,22062,,22,0
3119377,Lamuño,Lamuno,,43.56281,-6.1974,P,PPL,34,O,33021,,33,0
3119378,Lamuño,Lamuno,,43.36013,-5.62045,P,PPL,34,O,33066,,33,0
3119381,La Muera,La Muera,,42.45715,0.22247,P,PPL,52,HU,22190,,22,0
3119382,La Muela,La Muela,La Muela,43.18333,-5.85707,P,PPL,34,O,33033,,33,0
3119383,La Muela,La Muela,La Muela,41.62909,-2.77835,P,PPL,55,SO,42095,,42,0
3119384,La Muela,La Muela,"La Muela,La-Muehla,La-Muela,la mu ai la,la mwyla,Ла-Муела,Ла-Муэла,لا مويلا,لا مویلا,拉穆埃拉",41.58014,-1.11719,P,PPL,52,Z,50182,,50,5479
3119385,La Mudarra,La Mudarra,La Mudarra,41.77988,-4.94506,P,PPL,55,VA,47099,,47,254
3119386,Lampón,Lampon,"Lampon,Lampón,Santiago",42.64096,-8.90863,P,PPL,58,C,15011,,15,0
3119388,Lampazas,Lampazas,,42.71667,-7.26667,P,PPL,58,LU,27055,,27,9
3119389,Lampaza,Lampaza,,42.10459,-7.86364,P,PPL,58,OR,32067,,32,0
3119390,Lampay,Lampay,"Lampay,Santa Maria,Santa María",42.78333,-8.61667,P,PPL,58,C,15082,,15,0
3119391,La Mota,La Mota,La Mota,42.05129,2.7894,P,PPL,56,GI,17123,,17,0
3119393,La Mosquitera,La Mosquitera,,43.26454,-5.68151,P,PPL,34,O,33031,,33,0
3119394,Lamosa,Lamosa,"Lamosa,San Bartolome,San Bartolomé",42.21667,-8.35,P,PPL,58,PO,36013,,36,0
3119395,La Mortera,La Mortera,,43.43236,-6.09866,P,PPL,34,O,33010,,33,0
3119396,La Mortera,La Mortera,La Mortera,43.3223,-6.58237,P,PPL,34,O,33073,,33,0
3119397,la Morera de Montsant,la Morera de Montsant,"La-Morera-de-Montsant,la Morera,la Morera de Montsant,Ла-Морера-де-Монтсант",41.26529,0.84157,P,PPLA3,56,T,43096,,43,160
3119399,La Moralita,La Moralita,La Moralita,40.93808,-6.23408,P,PPL,55,SA,37106,,37,0
3119401,La Monzona,La Monzona,"Caserio La Monzona,Caserío La Monzona,La Monzona,La Monzora",40.11667,-0.6,P,PPL,60,CS,12092,,12,0
3119402,La Montaña,La Montana,"La Montana,La Montaña,Montanas,Montañas,San Salvador",43.45,-6.61667,P,PPL,34,O,33034,,33,0
3119403,La Montaña,La Montana,"La Montana,La Montaña",43.32199,-4.01612,P,PPL,39,S,39087,,39,0
3119404,La Monjía,La Monjia,"La Monjia,La Monjía",42.23421,-2.36938,P,PPL,27,LO,26098,,26,0
3119405,La Molina de Ubierna,La Molina de Ubierna,,42.51349,-3.62806,P,PPL,55,BU,09906,,09,0
3119406,La Molina del Portillo de Busto,La Molina del Portillo de Busto,"La Molina del Portillo de Busto,La Molina del Portillo del Busto",42.70413,-3.23215,P,PPL,55,BU,09238,,09,0
3119407,La Molina,La Molina,,43.35455,-4.28031,P,PPL,39,S,39024,,39,0
3119408,La Molina,La Molina,,43.32049,-4.8993,P,PPL,34,O,33008,,33,0
3119409,La Molina,La Molina,,43.2767,-3.98132,P,PPL,39,S,39056,,39,0
3119411,La Miyar,La Miyar,,43.4921,-5.38158,P,PPL,34,O,33076,,33,0
3119412,Lamisqueira,Lamisqueira,Lamisqueira,43.42495,-7.06257,P,PPL,34,O,33071,,33,0
3119413,La Miñosa,La Minosa,"La Minosa,La Miñosa",41.17948,-2.93226,P,PPL,54,GU,19185,,19,57
3119414,Lamindao,Lamindao,"Lamindano,Lamindao,Lamíndano",43.11667,-2.76667,P,PPL,59,BI,48026,,48,0
3119415,Lamiña,Lamina,,43.23332,-4.28123,P,PPL,39,S,39066,,39,0
3119416,La Miña,La Mina,,43.02093,-4.16145,P,PPL,39,S,39032,,39,0
